date,inverse_return,spy_return
1996-10-03,-0.0028978509989172,-0.0009
1996-10-04,0.010267759878561,0.013507
1996-10-07,-0.0003741871020718,0.001111
1996-10-08,0.0113359852194826,-0.003994
1996-10-09,-0.0014667273690223,-0.007797
1996-10-10,-0.0017088806338158,-0.002021
1996-10-11,0.0035158200260762,0.012374
1996-10-14,0.0028401697876847,0.001333
1996-10-15,-0.0032989980455846,-0.001332
1996-10-16,-0.0013372403029784,0.004889
1996-10-17,0.0035436444375574,0.002654
1996-10-18,0.0033049942147952,0.005293
1996-10-21,-0.001571037315437,-0.001316
1996-10-22,-0.0058074818493114,-0.00703
1996-10-23,0.0002380155650647,0.003319
1996-10-24,-0.0073282828382161,-0.0086
1996-10-25,0.0017767340054605,0.00089
1996-10-28,-0.006160040464068,-0.006667
1996-10-29,0.0012046593774279,0.008054
1996-10-30,0.0029623712699323,-0.003329
1996-10-31,0.0035957664328453,0.009575
1996-11-01,-0.0058365471996773,-0.003529
1996-11-04,0.0030340757184626,0.00664
1996-11-05,-0.0002758445053114,0.005717
1996-11-06,0.0099809655059134,0.019239
1996-11-07,0.0036930703667863,0.00236
1996-11-08,0.0054835818645968,0.005564
1996-11-11,0.0022418659104202,-0.001064
1996-11-12,0.0043900449463371,-0.002983
1996-11-13,0.0024177626666389,0.004487
1996-11-14,0.0055180945686057,0.006594
1996-11-15,0.0023369533699023,0.001268
1996-11-18,0.0016916367390502,0.000211
1996-11-19,0.001033408193431,0.007175
1996-11-20,-0.0017972152327605,0.001676
1996-11-21,-0.0012320555912792,-0.001464
1996-11-22,0.0096551063044514,0.00775
1996-11-25,0.0050067333635886,0.012679
1996-11-26,-0.0030433209487668,-0.003284
1996-11-27,-0.0006690569411979,-0.001853
1996-11-29,0.007573233239425,0.003714
1996-12-02,0.0074099112225499,0.000411
1996-12-03,0.0122225030608615,-0.017054
1996-12-04,-0.0056713684708221,0.002717
1996-12-05,0.002472822068966,-0.00271
1996-12-06,-0.0125915309836061,-0.005853
1996-12-09,0.017378406715664,0.014718
1996-12-10,-0.0019546498222129,-0.004766
1996-12-11,-0.0101893289273191,-0.009161
1996-12-12,-0.0077705316131322,-0.0166
1996-12-13,0.0022826071469428,0.002564
1996-12-16,-0.0092983505820628,-0.012788
1996-12-17,-0.0026924047323716,0.007988
1996-12-18,0.002106021603151,0.007925
1996-12-19,0.0102320676995711,0.020612
1996-12-20,0.0049597779935434,0.002714
1996-12-23,-0.0074669193823629,-0.002505
1996-12-24,0.0002741117377271,0.007325
1996-12-26,0.0060089893173632,0.007688
1996-12-27,-0.0011410958234431,0.001237
1996-12-30,-0.0036021971077791,-0.008649
1996-12-31,-0.00535820369438,-0.01828
1997-01-02,0.0061465123529542,0.002539
1997-01-03,0.0085776947209924,0.014352
1997-01-06,-0.0039760237232113,-0.008739
1997-01-07,0.0076410883266096,0.012175
1997-01-08,-0.0050271687601872,-0.00871
1997-01-09,0.0069950389088338,0.008368
1997-01-10,-0.0019647820956602,0.010788
1997-01-13,0.0047463587076393,-0.001437
1997-01-14,0.0034270854354836,0.012539
1997-01-15,-0.0016140962871371,-0.002436
1997-01-16,0.002373972276318,0.00407
1997-01-17,0.0038917781576582,0.00608
1997-01-20,-0.002067581771356,0.001209
1997-01-21,0.0096442561207414,0.008048
1997-01-22,0.0097771042489093,0.007186
1997-01-23,-0.0056256789418779,-0.013872
1997-01-24,-0.0076346047506192,-0.012862
1997-01-27,-0.0021566656040664,-0.00285
1997-01-28,0.0022778840702857,0.002858
1997-01-29,0.0015721674925176,0.009772
1997-01-30,0.0113738012073638,0.012903
1997-01-31,-0.0068521726372021,-0.001194
1997-02-03,0.0020040292536776,0.002989
1997-02-04,-0.0004167641736504,0.006159
1997-02-05,-0.0130813810787098,-0.01876
1997-02-06,0.0055938278480956,0.006641
1997-02-07,0.0078251197494874,0.013595
1997-02-10,-0.0054354196384294,-0.009467
1997-02-11,0.0002394105189242,0.011549
1997-02-12,0.0116637019348472,0.014173
1997-02-13,0.0089365253753581,0.01087
1997-02-14,0.0026044413179695,-0.002304
1997-02-18,0.0022365436358132,0.008468
1997-02-19,-0.0035138349482534,-0.006679
1997-02-20,-0.0011345234620899,-0.012104
1997-02-21,-0.0010892349733775,0.000389
1997-02-24,0.0022097715114609,0.011859
1997-02-25,0.0003606997953627,0.000768
