,inverse_return,spy_return
1996-10-09,-0.001466727369022377,-0.007797
1996-10-10,-0.0017088806338158393,-0.002021
1996-10-11,0.003515820026076283,0.012374
1996-10-14,0.002840169787684756,0.001333
1996-10-15,-0.0032989980455846225,-0.001332
1996-10-16,-0.0013372403029784747,0.004889
1996-10-17,0.0035436444375574047,0.002654
1996-10-18,0.0033049942147952453,0.005293
1996-10-21,-0.0015710373154370293,-0.001316
1996-10-22,-0.005807481849311476,-0.00703
1996-10-23,0.00023801556506475037,0.003319
1996-10-24,-0.00732828283821612,-0.0086
1996-10-25,0.0017767340054605032,0.00089
1996-10-28,-0.006160040464068084,-0.006667
1996-10-29,0.0012046593774279403,0.008054
1996-10-30,0.002962371269932361,-0.003329
1996-10-31,0.003595766432845311,0.009575
1996-11-01,-0.005836547199677382,-0.003529
1996-11-04,0.0030340757184626173,0.00664
1996-11-05,-0.0002758445053114582,0.005717
1996-11-06,0.009980965505913455,0.019239
1996-11-07,0.003693070366786342,0.00236
1996-11-08,0.005483581864596882,0.005564
1996-11-11,0.0022418659104202297,-0.001064
1996-11-12,0.004390044946337192,-0.002983
1996-11-13,0.0024177626666389562,0.004487
1996-11-14,0.005518094568605755,0.006594
1996-11-15,0.002336953369902331,0.001268
1996-11-18,0.0016916367390502956,0.000211
1996-11-19,0.001033408193431094,0.007175
1996-11-20,-0.0017972152327605697,0.001676
1996-11-21,-0.0012320555912792926,-0.001464
1996-11-22,0.009655106304451403,0.00775
1996-11-25,0.005006733363588638,0.012679
1996-11-26,-0.0030433209487668194,-0.003284
1996-11-27,-0.0006690569411979459,-0.001853
1996-11-29,0.007573233239425002,0.003714
1996-12-02,0.00740991122254994,0.000411
1996-12-03,0.012222503060861572,-0.017054
1996-12-04,-0.0056713684708221915,0.002717
1996-12-05,0.002472822068966073,-0.00271
1996-12-06,-0.012591530983606103,-0.005853
1996-12-09,0.01737840671566406,0.014718
1996-12-10,-0.0019546498222129333,-0.004766
1996-12-11,-0.010189328927319196,-0.009161
1996-12-12,-0.007770531613132236,-0.0166
1996-12-13,0.0022826071469428527,0.002564
1996-12-16,-0.009298350582062806,-0.012788
1996-12-17,-0.0026924047323716423,0.007988
1996-12-18,0.0021060216031510517,0.007925
1996-12-19,0.010232067699571117,0.020612
1996-12-20,0.00495977799354341,0.002714
1996-12-23,-0.0074669193823629285,-0.002505
1996-12-24,0.00027411173772711914,0.007325
1996-12-26,0.006008989317363205,0.007688
1996-12-27,-0.0011410958234431099,0.001237
1996-12-30,-0.0036021971077791932,-0.008649
1996-12-31,-0.005358203694380083,-0.01828
1997-01-02,0.006146512352954249,0.002539
1997-01-03,0.008577694720992433,0.014352
1997-01-06,-0.003976023723211367,-0.008739
1997-01-07,0.0076410883266096775,0.012175
1997-01-08,-0.005027168760187254,-0.00871
1997-01-09,0.006995038908833847,0.008368
1997-01-10,-0.0019647820956602596,0.010788
1997-01-13,0.004746358707639391,-0.001437
1997-01-14,0.0034270854354836555,0.012539
1997-01-15,-0.0016140962871371905,-0.002436
1997-01-16,0.002373972276318057,0.00407
1997-01-17,0.0038917781576582092,0.00608
1997-01-20,-0.0020675817713560435,0.001209
1997-01-21,0.00964425612074148,0.008048
1997-01-22,0.009777104248909343,0.007186
1997-01-23,-0.005625678941877967,-0.013872
1997-01-24,-0.007634604750619255,-0.012862
1997-01-27,-0.0021566656040664257,-0.00285
1997-01-28,0.0022778840702857767,0.002858
1997-01-29,0.0015721674925176917,0.009772
1997-01-30,0.01137380120736383,0.012903
1997-01-31,-0.006852172637202199,-0.001194
1997-02-03,0.0020040292536776115,0.002989
1997-02-04,-0.0004167641736504092,0.006159
1997-02-05,-0.013081381078709894,-0.01876
1997-02-06,0.005593827848095669,0.006641
1997-02-07,0.007825119749487477,0.013595
1997-02-10,-0.00543541963842945,-0.009467
1997-02-11,0.00023941051892427295,0.011549
1997-02-12,0.01166370193484727,0.014173
1997-02-13,0.008936525375358167,0.01087
1997-02-14,0.0026044413179695867,-0.002304
1997-02-18,0.0022365436358132997,0.008468
1997-02-19,-0.0035138349482534874,-0.006679
1997-02-20,-0.0011345234620899903,-0.012104
1997-02-21,-0.0010892349733775436,0.000389
1997-02-24,0.0022097715114609605,0.011859
1997-02-25,0.000360699795362722,0.000768
1997-02-26,-0.004892578846725293,-0.009791
1997-02-27,-0.001997551201864351,-0.014928
1997-02-28,0.004015312364408339,-0.002952
1997-03-03,-0.001217523843323259,0.006711
1997-03-04,-0.0022500267926443083,-0.00549
1997-03-05,0.008178528391975495,0.016956
1997-03-06,0.001767677992728142,-0.005816
1997-03-07,0.0033056944096117057,0.00897
1997-03-10,0.006218540131791728,0.010437
1997-03-11,0.0016629964575171766,-0.005356
1997-03-12,-0.006578576569753805,-0.008846
1997-03-13,-0.002762001600218407,-0.015522
1997-03-14,0.0013991480129714267,0.005124
1997-03-17,-0.006782510569276995,0.002745
1997-03-18,-0.007757101532043405,-0.010755
1997-03-19,-0.005028808495262319,-0.00336
1997-03-20,-0.0023481105101145166,-0.005157
1997-03-21,-0.002031637197937546,0.004616
1997-03-24,0.000345858696496253,0.013944
1997-03-25,-0.0007632200268582456,-0.009823
1997-03-26,0.0021414606000995733,0.004365
1997-03-27,-0.013614759951349361,-0.026472
1997-03-31,-0.012128785813294216,-0.015828
1997-04-01,-0.006920826801943398,0.001031
1997-04-02,-0.008406166275716746,-0.01792
