,inverse_v,spy_v,inverse_v_with_25bps_slip
2009-08-26,7.913173996817122,2.0988915079222443,7.771757209266464
2009-08-27,7.974465676194054,2.103569937093403,7.831953541516621
2009-08-28,7.998055929041111,2.103163948095544,7.855122211598473
2009-08-31,7.89060354110187,2.084447892121442,7.74959011146323
2009-09-01,7.647435681011493,2.0384712249649195,7.510767918184101
2009-09-02,7.574717301944658,2.0307413420798524,7.4393490934512965
2009-09-03,7.7008500336568755,2.0476269563392466,7.563227699861718
2009-09-04,7.844878581730801,2.076312162370603,7.704682305470537
2009-09-08,7.956861730176427,2.094214125834562,7.814664196630606
2009-09-09,8.087008050440863,2.1102851250362162,7.942484664521423
2009-09-10,8.223889385994623,2.1318501287289613,8.07691978585603
2009-09-11,8.20955458919096,2.1314429453543737,8.062841167030383
2009-09-14,8.308933654689124,2.141818809612359,8.16044422353415
2009-09-15,8.419449761642767,2.150769470417729,8.268985290785109
2009-09-16,8.610372129954778,2.183319215583031,8.456495674473862
2009-09-17,8.514639000039546,2.1800638866325968,8.362473396828566
2009-09-18,8.564748544356316,2.181454767392268,8.411687430597258
2009-09-21,8.530877106191229,2.1759356868307655,8.37842131085142
2009-09-22,8.64210114389074,2.188608336270868,8.487657657377175
2009-09-23,8.528494542081821,2.1704166237797846,8.376081325682225
2009-09-24,8.36087611526123,2.1465008030023554,8.211458417406382
2009-09-25,8.289708803725668,2.1350535142199436,8.141562940987807
2009-09-28,8.501799504749409,2.1732773772850233,8.349863356897101
2009-09-29,8.506183437054299,2.1667358123793954,8.354168943695665
2009-09-30,8.442698885758134,2.158354878257112,8.289951592753589
2009-10-01,8.19214781178713,2.1054125914483435,8.043933547714007
2009-10-02,8.130087566343592,2.094988693708083,7.982996110820552
2009-10-05,8.283935356345996,2.1262626849277573,8.134060450438719
2009-10-06,8.396299660099794,2.1567192716266623,8.244391832793683
2009-10-07,8.38678509241172,2.1626480929043637,8.235049404900973
2009-10-08,8.505950961233342,2.1792053267036398,8.352059296809596
2009-10-09,8.557012875241615,2.1924919415805517,8.402197386665675
2009-10-12,8.587034977173607,2.201077740023781,8.431676321671732
2009-10-13,8.579781984259501,2.1965809382009125,8.4245545516105
2009-10-14,8.74555927609188,2.234397275632979,8.587332561707067
2009-10-15,8.77989937567452,2.2425729352645205,8.621051372135165
2009-10-16,8.692402701187032,2.2258119451463534,8.535137708051776
2009-10-19,8.790086779963682,2.244208280872988,8.631054463511008
2009-10-20,8.73472534066459,2.232372326399664,8.576694636386438
2009-10-21,8.618525186232354,2.212318925791616,8.462596802465258
2009-10-22,8.746377152865154,2.2348049353533623,8.58813564126148
2009-10-23,8.60590165085894,2.209254410527467,8.450201655061445
2009-10-26,8.498219786565345,2.1853392315335074,8.344467996371186
2009-10-27,8.425353047763748,2.175323821835389,8.272919579737964
2009-10-28,8.173457973361828,2.1342384808123844,8.025581850239222
2009-10-29,8.36279690316803,2.1800264331797337,8.211495215616367
2009-10-30,8.077190596109762,2.116864527331217,7.931056165007551
2009-11-02,8.08487704655273,2.1324001960973007,7.938603550382129
2009-11-03,8.176268471770907,2.1391449779175566,8.028341500450383
2009-11-04,8.161034387818026,2.144663971960584,8.013383035125704
2009-11-05,8.386017862163166,2.184117210388771,8.234296055562435
2009-11-06,8.371918579072743,2.1898395974799896,8.220451860016228
2009-11-09,8.582026608212598,2.2397153841521935,8.42675856529936
2009-11-10,8.543692060281968,2.2401252520674935,8.38911757502182
2009-11-11,8.59172989005529,2.2515722921055583,8.436286293085846
2009-11-12,8.434876131149592,2.228678305039429,8.282270369260443
2009-11-13,8.524068647497602,2.2407376833479975,8.369849193634744
2009-11-16,8.708755484749421,2.27323958344496,8.551194633209649
2009-11-17,8.692686601873447,2.2758765413617565,8.535416472340245
2009-11-18,8.66500996628827,2.2744654979061125,8.508240568952475
2009-11-19,8.503116068315277,2.244826938002898,8.349275693440653
2009-11-20,8.444937867368072,2.2368555575460496,8.292150066181883
2009-11-23,8.557077869753913,2.2652680968379997,8.402261205281972
2009-11-24,8.527827110943903,2.268743018098549,8.373539658076814
2009-11-25,8.599680079718473,2.2767153810641476,8.444092646048656
2009-11-27,8.413177699470145,2.239716479406474,8.260964510707948
2009-11-30,8.410054112490586,2.2472800019574297,8.257897436398332
2009-12-01,8.5304238436464,2.275078855581643,8.376089410080802
2009-12-02,8.565137299187793,2.274057345175487,8.410174821623874
2009-12-03,8.462366822678378,2.2562742167362146,8.309263692735406
2009-12-04,8.610250317628873,2.269153029965345,8.454471644729859
